,Invested Amount,Successful Attacks,Failed Attacks,Business Value,Number of Employees,Employee Training,Known Vulnerabilities,External Advisor,Risk
0,182068,18,21,5080847,7483,HIGH,5,YES,LOW
1,341499,19,33,5014396,7273,HIGH,0,NO,LOW
2,1282511,31,21,4933760,7421,LOW,7,YES,HIGH
3,1314938,45,0,4897289,2953,MEDIUM,5,YES,MEDIUM
4,208202,23,28,5030776,3146,MEDIUM,7,NO,HIGH
5,1013397,44,44,5049919,7270,LOW,5,NO,HIGH
6,1475620,6,35,4990879,2725,HIGH,5,YES,LOW
7,275980,8,26,5087009,2819,HIGH,3,NO,MEDIUM
8,225489,48,49,5046477,8751,MEDIUM,9,NO,HIGH
9,135448,16,38,4901411,9800,HIGH,5,YES,LOW
10,1086500,30,1,5040465,2016,HIGH,3,YES,MEDIUM
11,250176,23,20,4997374,4714,MEDIUM,3,NO,HIGH
12,704246,23,0,4989017,1754,MEDIUM,7,NO,HIGH
13,1209993,21,5,5073237,6233,MEDIUM,7,YES,MEDIUM
14,645657,21,18,4915363,6654,MEDIUM,9,YES,MEDIUM
15,243121,40,9,4932178,9204,LOW,1,YES,MEDIUM
16,710287,42,12,5054785,3083,MEDIUM,8,YES,HIGH
17,814415,40,1,5045884,3675,MEDIUM,9,NO,HIGH
18,1465911,22,12,5010873,8232,HIGH,9,YES,LOW
19,173102,10,47,5020277,7466,HIGH,5,YES,LOW
20,764120,11,16,4930080,1122,LOW,0,YES,MEDIUM
21,1378137,47,30,5008653,7353,LOW,2,NO,HIGH
22,680650,19,32,4997173,2886,HIGH,1,YES,LOW
23,1403796,46,11,5005117,1501,HIGH,8,NO,HIGH
24,172624,49,22,4934898,9170,MEDIUM,4,NO,HIGH
25,264321,48,44,4976414,1868,MEDIUM,2,NO,HIGH
26,164866,48,19,4950862,1405,MEDIUM,2,NO,HIGH
27,989960,14,8,4984349,2383,HIGH,0,YES,LOW
28,198438,19,46,5009148,4580,HIGH,1,NO,MEDIUM
29,1356605,40,18,4959531,2353,MEDIUM,4,YES,MEDIUM
30,1386466,5,38,4934889,7106,LOW,1,YES,LOW
31,1112266,15,30,4913296,8975,HIGH,0,YES,LOW
32,1158982,14,41,4964649,7077,LOW,8,NO,HIGH
33,1232728,11,32,4928862,1121,HIGH,0,NO,MEDIUM
34,221992,48,42,4905071,1035,LOW,6,NO,HIGH
35,947776,14,32,5049653,6043,HIGH,7,YES,LOW
36,302675,8,6,5014291,9944,HIGH,0,YES,LOW
37,1362407,1,43,4914531,8882,LOW,6,NO,HIGH
38,299304,5,14,5038166,3140,LOW,8,NO,HIGH
